Algorithm,SpaceFlow
Package,Yes
Bioconductor,No
CRAN,No
Vignette,Yes
Vignette with different examples of different technologies,Yes
R,No
Python,Yes
C++,No
Centroid-based,No
Hierarchical,No
Density-based,No
Distribution-based,No
Unsupervised ML,Yes
Supervised ML,No
GNN,Yes
AE,Yes
Ensemble model,No
Domain,Yes
Cell type,Yes
Unclear,No
Nearest neighbour assumption (explicit),No
Number of cell types / domains are known (explicit),No
Spatially-transformed expression matrix,Yes
Low dimension with spatial embedding,Yes
Accessible,No
Raw,No
Normalised,Yes
Transcript count,No
Low-resolution spot,Yes
High-resolution spot,Yes
Cellular,Yes
Segmentation-free subcellular,Yes
Inherent multisample clustering,No
Joint clustering,No
Visium human DLPFC (Maynard et al),No
MERFISH mouse hypothalamus (Mofitt et al),Yes
STARmap mouse mPFC (Wang et al),No
Other datasets used,Yes
Spot-based low resolution,Yes
Spot-based high resolution,Yes
Imaging-based,Yes
scRNA-seq,No
Fluorescence image,No
Histology image,No
For <10k cells,Unclear
For upto 100k cells,Unclear
For upto 1m cells,Unclear
For >1 m cells,Unclear
Unclear,Yes
GPU,Yes
Segmentation error,No
Spot swapping,No
Sparsity,No
Batch effects,No
Resolution,No
Rare cell type detection,No
Augmented input matrix,Yes
Joint low dimension,Yes
Tailored,No
2D,Yes
3D,Yes
Neighbourhood graph,Yes
Spatiotemporal,Yes
Nearest neighbour assumption,No
Adjusted Rand Index (ARI),Yes
Normalised Mutual Information (NMI),No
Adjusted Mutual Information (AMI),No
Average silhouette width (ASW) / Silhouette coeficient,Yes
Moran's I,No
Geary's C,No
Davies-Bouldin (DB) index,No
Calinski-Harabasz (CH) Index,No
Clustering Homogeneity Across Overlapping Subsets (CHAOS),No
Homogeneity (HOM),No
Completeness (COM),No
Proportion of Ambiguous Spots (PAS),No
Cell Stability Score (CSS),No
Spatial Coherence Score (SCS),No
Realistic,Yes
Unrealistic,No
Simulation included,No
Scalability assessment,No
Accuracy assessment,Yes
Stress testing,No
Parameter testing,Yes

```
