Algorithm,BASS
Package,Yes
Bioconductor,No
CRAN,No
Vignette,Yes
Vignette with different examples of different technologies,Yes
R,Yes
Python,No
C++,Yes
Centroid-based,No
Hierarchical,Yes
Density-based,No
Distribution-based,No
Unsupervised ML,Yes
Supervised ML,No
GNN,No
AE,No
Ensemble model,No
Domain,Yes
Cell type,Yes
Unclear,No
Nearest neighbour assumption (explicit),No
Number of cell types / domains are known (explicit),No
Spatially-transformed expression matrix,Yes
Low dimension with spatial embedding,No
Accessible,Yes
Raw,No
Normalised,Yes
Transcript count,No
Low-resolution spot,Yes
High-resolution spot,Yes
Cellular,Yes
Segmentation-free subcellular,No
Inherent multisample clustering,Yes
Joint clustering,No
Visium human DLPFC (Maynard et al),Yes
MERFISH mouse hypothalamus (Mofitt et al),Yes
STARmap mouse mPFC (Wang et al),No
Other datasets used,Yes
Spot-based low resolution,Yes
Spot-based high resolution,Yes
Imaging-based,Yes
scRNA-seq,No
Fluorescence image,No
Histology image,No
For <10k cells,Good
For upto 100k cells,Good
For upto 1m cells,Medium
For >1 m cells,Bad
Unclear,No
GPU,No
Segmentation error,No
Spot swapping,No
Sparsity,No
Batch effects,No
Resolution,No
Rare cell type detection,Yes
Augmented input matrix,Yes
Joint low dimension,No
Tailored,No
2D,Yes
3D,No
Neighbourhood graph,No
Spatiotemporal,No
Nearest neighbour assumption,No
Adjusted Rand Index (ARI),Yes
Normalised Mutual Information (NMI),Yes
Adjusted Mutual Information (AMI),Yes
Average silhouette width (ASW) / Silhouette coefficient,Yes
Moran's I,Yes
Geary's C,Yes
Davies-Bouldin (DB) index,Yes
Calinski-Harabasz (CH) Index,Yes
Clustering Homogeneity Across Overlapping Subsets (CHAOS),Yes
Homogeneity (HOM),Yes
Completeness (COM),Yes
Proportion of Ambiguous Spots (PAS),Yes
Cell Stability Score (CSS),Yes
Spatial Coherence Score (SCS),Yes
Realistic,Yes
Unrealistic,No
Simulation included,Yes
Scalability assessment,Yes
Accuracy assessment,Yes
Stress testing,Yes
Parameter testing,Yes

```
