Algorithm,SCTP
Package,No
Bioconductor,No
CRAN,No
Vignette,No
Vignette with different examples of different technologies,Yes
R,No
Python,No
C++,No
Centroid-based,No
Hierarchical,No
Density-based,No
Distribution-based,No
Unsupervised ML,No
Supervised ML,No
GNN,No
AE,No
Ensemble model,No
Domain,Yes
Cell type,Yes
Unclear,No
Nearest neighbour assumption (explicit),Yes
Number of cell types / domains are known (explicit),No
Spatially-transformed expression matrix,No
Low dimension with spatial embedding,No
Accessible,No
Raw,No
Normalised,Yes
Transcript count,No
Low-resolution spot,Yes
High-resolution spot,No
Cellular,No
Segmentation-free subcellular,No
Inherent multisample clustering,No
Joint clustering,No
Visium human DLPFC (Maynard et al),No
MERFISH mouse hypothalamus (Mofitt et al),No
STARmap mouse mPFC (Wang et al),No
Other datasets used,Yes
Spot-based low resolution,Yes
Spot-based high resolution,No
Imaging-based,No
scRNA-seq,No
Fluorescence image,No
Histology image,No
For <10k cells,Unclear
For upto 100k cells,Unclear
For upto 1m cells,Unclear
For >1 m cells,Unclear
Unclear,Yes
GPU,No
Segmentation error,No
Spot swapping,No
Sparsity,No
Batch effects,No
Resolution,No
Rare cell type detection,No
Augmented input matrix,No
Joint low dimension,No
Tailored,No
2D,Yes
3D,No
Neighbourhood graph,No
Spatiotemporal,No
Nearest neighbour assumption,Yes
Adjusted Rand Index (ARI),No
Normalised Mutual Information (NMI),No
Adjusted Mutual Information (AMI),No
Average silhouette width (ASW) / Silhouette coefficient,No
Moran's I,No
Geary's C,No
Davies-Bouldin (DB) index,No
Calinski-Harabasz (CH) Index,No
Clustering Homogeneity Across Overlapping Subsets (CHAOS),No
Homogeneity (HOM),No
Completeness (COM),No
Proportion of Ambiguous Spots (PAS),No
Cell Stability Score (CSS),No
Spatial Coherence Score (SCS),No
Realistic,No
Unrealistic,No
Simulation included,No
Scalability assessment,No
Accuracy assessment,No
Stress testing,No
Parameter testing,No

