Method,Assigned to,Publication,,,,Availability,,,,Instructions,,Programming language,,,Clustering method categorisation*,,,,,,,,,,Clustering level,,,,Method assumption*,,,Assumption description,Context-aware representation,,,,Input data type,,Dataset resolution,,,,Multisample analysis,Specific datasets applied to*,,Technology types,,,Reference inclusion,,,Scalability (as shown by authors),,,,Overcoming limitations,,,,,,When is spatial information added?,,,What is the nature of spatial information that it can work with?,,,,How is domain/cell type clustering performed?*,What metrics are used in the paper?,,,,,,,,,,,,,,Does the reader the the assumptions are realistic?,,,What level of simulations have been used?,,,
,Assignee name,Links,Journal,Year,"Citations 
(Scopus - 23 Jan 2025)",Code link(s),Package,Bioconductor,CRAN,Vignette,Vignette with examples from different technologies,R,Python,C/C++,Centroid-based,Heirarchical,Density-based,Distribution-based,Unsupervised ML,Supervised ML,GCN,AE,Ensemble model,Reader comments,Domain,Cell type,Both,Unclear,Explicit assumptions,Implicit assumptions,Nearest neighbour assumption (explicit),Reader comments on assumptions,Spatially-transformed expression matrix,Low dimension with spatial embedding,Inaccessible,None,Raw,Normalised,Low-resolution spot,High-resolution spot,Cellular,Segmentation-free subcellular,Multisample analysis,DLPFC Visium,Mouse hypothalamus MERFISH,Spot-based low resolution,Spot-based high resolution,Imaging-based,scRNA-seq,Imaging data,None,Not scalable (only few thousand cells),Scalable (between hundered thousand to a million cells),Atlas-level scaling (millions of cells),Unclear,Segmentation error,Spot swapping,Sparsity,Batch effects,Resolution,Rare cell types,Augmented input matrix,Joint low dimension,Tailored,2D,3D,Graph,Spatiotemporal,Nearest neighbour assumption*,Adjusted Rand Index (ARI),Normalised Mutual Information (NMI),Adjusted Mutual Information (AMI),Average silhouette width (ASW),Moran's I,Geary's C,Davies-Bouldin (DB) index,Calinski-Harabasz (CH) Index,Clustering Homogeneity Across Overlapping Subsets (CHAOS),Homogeneity (HOM),Completeness (COM),Proportion of Ambiguous Spots (PAS),Cell Stability Score (CSS),Spatial Coherence Score (SCS),Yes,No,"If no, please describe",Simulation included,Scalability assessment,Accuracy assessment,Parameter testing
BayesSpace,Jeyson,https://www.nature.com/articles/s41587-021-00935-2,Nature Biotechnology,2021,348,https://github.com/edward130603/BayesSpace,Yes,Yes,,Yes,,Yes,,,,,,Yes,,,,,,,Yes,,,,,,,,,,Yes,,,Yes,Yes,,,,,Yes,,Yes,,,,,Yes,,Yes,,,,,,,,,,,Yes,Yes,,,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,Yes,
,Pratibha,https://www.nature.com/articles/s41587-021-00935-2,Nature Biotechnology,2021,348,https://github.com/edward130603/BayesSpace,Yes,Yes,,Yes,,Yes,,,,,,Yes,,,,,,,Yes,,,,,,,,,,Yes,,,Yes,Yes,,,,,Yes,,Yes,,,,,Yes,,Yes,,,,,,,,,,,Yes,Yes,,,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,Yes,
BASS,Jeyson,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02734-7,Genome Biology,2022,40,https://github.com/zhengli09/BASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pratibha,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02734-7,Genome Biology,2022,40,https://github.com/zhengli09/BASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpaGCN,Jeyson,https://www.nature.com/articles/s41592-021-01255-8,Nature Methods,2021,338,https://github.com/jianhuupenn/SpaGCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAGATE,,https://www.nature.com/articles/s41467-022-29439-6,Nature Communications,2022,213,https://github.com/zhanglabtools/STAGATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GraphST,,https://www.nature.com/articles/s41467-023-36796-3,Nature Communications,2023,126,https://github.com/JinmiaoChenLab/GraphST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stSME,,https://www.nature.com/articles/s41467-023-43120-6,Nature Communications,2023,89,https://github.com/BiomedicalMachineLearning/stLearn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCST,,https://www.nature.com/articles/s43588-022-00266-5,Nature Computational Science,2022,82,https://github.com/xiaoyeye/CCST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
